url,title,content
https://www.th-bingen.de/,Technische Hochschule (TH) Bingen - Willkommen,"Seit 1897 bildet die Technische Hochschule Bingen in den Ingenieur- und Naturwissenschaften aus. Bei uns studieren Sie an einer kompakten Campus-Hochschule mit persönlicher Betreuung. Als Absolventin oder Absolvent bieten sich Ihnen sichere Karrierewege in Wirtschaft und Wissenschaft. Denn der hohe Praxisbezug und die Zusammenarbeit mit Unternehmen zeichnen unsere Lehre aus. Durch die anwendungsbezogene Forschung stehen Ihnen akademische Abschlüsse bis zur Promotion offen.
   Online-Bewerbungen für das Sommersemester 2025 sind ab sofort möglich. 
                Aktuelle Highlights finden Sie hier, weitere wichtige Termine und Informationen rund um die Veranstaltungen an der TH finden Sie in unserem Veranstaltungskalender."
https://www.th-bingen.de/studiengaenge/regenerative-energiewirtschaft-und-versorgungstechnik/ueberblick,TH Bingen: Überblick Regenerative Energiewirtschaft und Versorgungstechnik,"Regenerative Energiewirtschaft und Versorgungstechnik B.Sc.
 Angesichts der Endlichkeit fossiler Energieträger und drohender Klimaänderung ist ein effizienter Einsatz von Energie zwingend notwendig. Die Energiewirtschaft und Versorgungstechnik muss diese Herausforderung annehmen und neue aber auch bezahlbare Energie- und Versorgungskonzepte entwickeln.Der Studiengang Regenerative Energiewirtschaft und Versorgungstechnik bietet eine ganzheitliche und interdisziplinäre Betrachtung energie- und versorgungtechnischer Fragestellungen mit einem starken Praxisbezug. Er qualifiziert sie für heutige und zukünftige Fragestellungen in der Fach- und Führungsebene. Starte dein Bachelorstudium ohne Hürden - einfach einschreiben und loslegen! – Isabell Braun | Studentin der Versorgungstechnik Regenerative Energiewirtschaft und Versorgungstechnik in 175 Sekunden Der Studiengang im Kurzportrait: unsere Studierenden zeigen in 175 Sekunden den Studiengang Regenerative Energiewirtschaft und Versorgungstechnik.  Warum an der TH Bingen? Wir vermitteln Ihnen technische und betriebswirtschaftliche Kenntnisse – kombiniert mit fundierten Methodenkenntnissen. Sie lernen zum Beispiel wie man Anlagen der Gebäudetechnik plant und erlangen Kenntnisse über Geographische Informationssysteme oder Elektronische Handelssysteme sowie Planungswerkzeuge aus der Gebäudetechnik. Als Absolventin oder Absolvent sind Sie in der Lage, die technischen Zusammenhänge zu verstehen und Projekte zu managen. Ihr Studium können Sie durch eine Auswahl vertiefender Wahlpflichtfächer ergänzen, wie zum Beispiel Umweltrecht oder Versorgungstechnik in der Praxis, wo Sie lernen, mit anderen Fachdisziplinen wie Architekten zu planen. Sie wollen die Energiewende schon im Studium mitgestalten? Bei uns können Sie an internationalen Projekten im Bereich Energiewirtschaft und Politik mitarbeiten.  Das Studium rockt! Das Studium an der TH Bingen ist praxisnah. Wir möchten, dass sie schnellstmöglichst über den Tellerrand schauen und die ""Grenzen"" des Hörsaals verlassen.Deshalb finden viele unserer Projekte draußen statt. Zum Beispiel: Die anspruchsvolle Energieversorgung eines Rockkonzertes. Dabei haben Sie keine Absicherung - der nächste Netzanschluss ist kilometerweit entfernt, denn das Konzert findet mitten in den Weinbergen statt. Alle Veranstaltungen ansehen  Das Studium schließt mit dem akademischen Grad Bachelor of Science (B. Sc.) ab. Neben dem regulären Studienmodell können Sie den Studiengang praxisintegrierend oder ausbildungsintegrierend abschließen. 
 Wer nach dem Bachelorabschluss noch nicht direkt in den Beruf einsteigen möchte, kann sich an der TH Bingen im Masterstudiengang Energie-, Gebäude- und Umweltmanagement wissenschaftlich weiterqualifizieren oder Masterprogramme anderen Hochschulen im In- und Ausland wahrnehmen.  Den Absolventinnen und Absolventen des Studiengangs stehen anspruchsvolle Aufgaben in Fach- und Führungspositionen in einem boomenden Wirtschaftszweig offen. – Frederik Mayer | Student der Reg. Energiewirtschaft Jetzt bewerben! Ihre Zukunft beginnt jetzt. Nehmen Sie Ihre Karriere in die Hand und bewerben Sie sich bei uns. Der Bewerbungsantrag lässt sich online ausfüllen, klicken Sie sich einfach durch. Fachbereich 1 
                    
                        Gebäude
                        2
                    
                    
                        Raum
                        120
                    
                 Fachbereich 1 
                    
                        Gebäude
                        2
                    
                    
                        Raum
                        120"
https://www.th-bingen.de/forschung/biogene-werkstatt,Technischen Hochschule (TH) Bingen: Biogene Werkstatt®,"Biobasierte Hochleistungsverbundwerkstoffe, die auch den Vergleich mit Kohlenstofffaser-verstärkten Materialien nicht scheuen müssen, dürften schon bald keine Zukunftsmusik mehr sein. Die Biogene Werkstatt®, das Labor für nachwachsende Rohstoffe der Technischen Hochschule Bingen, verfolgt auf diesem Gebiet eine intensive Entwicklung im Hinblick auf eine nachhaltigere Werkstoffwelt.Die Biogene Werkstatt® ist eine Gemeinschaftsmarke der Technischen Hochschule (TH) Bingen und der Transferstelle Bingen (TSB).Die TSB ist ein Geschäftsbereich der Institut für Innovation, Transfer und Beratung (ITB) gemeinnützige GmbH für Innovation. Das Anwenderzentrum Die Spezialisten für biogene Werkstoffe der TH Bingen widmen sich in ihrem Anwenderzentrum dem Wissens- und Technologietransfer in Unternehmen. Hier soll die Nutzung nachwachsender Rohstoffe in konkreten werkstofflichen Anwendungen gefördert werden. Im Fokus stehen kleine und mittelständische Unternehmen in Rheinland-Pfalz und in den angrenzenden Bundesländern. Das Projekt ""Anwenderzentrum der Biogenen Werkstatt"" wird durch den Europäischen Fonds für Regionale Entwicklung (EFRE) und das Ministerium für Wissenschaft, Weiterbildung und Kultur (MWWK) gefördert.  Ein beispielhaftes Projekt: Abutilon Das erklärte Ziel des Abtutilon-Projektes ist, alle Bestandteile eines biogenen Verbundwerkstoffes, also zugfeste Faser und Matrix, aus einer Pflanze zu gewinnen. Das Besondere dabei: die Forscher befinden sich mit der Pflanze Abutilon (Schönmalve) außerhalb der Nahrungsmittelkonkurrenz.
 Der nachhaltige Verbundwerkstoff ist interessant für Hersteller aus der Fahrzeug- und Elektroindustrie sowie dem Flugzeugbau. Mehr zu diesem Projekt erfahren Sie auf der Seiten der Forschungsprojekte der TH Bingen. Biogene Hochleistungsverbundwerkstoffe für Strukturbauteile der Automobilindustrie aus schädigungsarm isolierter Hanf-Bastrinde mit Plasmabehandlung Aus Naturfasern und einem teilweise biogenen duroplastischen Harzsystem soll weitgehend biogenes Verbundwerkstoff-Halbzeug hergestellt werden. Innovative biogene Flammschutzausrüstung für naturfaserverstärkte Formteile mit biogener duroplastischer Matrix.  Neue biogene Bindemittel für Duroplaste auf Basis von Reststoffströmen aus Zellstofffabriken. Nutzung von Reststoffströmen aus der Zellstoffherstellung zur Gewinnung biogener Härter für Epoxidharze. Eine Motorhaube aus biogenen Werkstoffen wird gefertigt und eine Ökobilanz für das Produkt erstellt. Naturfaserverstärktes Kantinentablett mit biogener duroplastischer Matrix aus epoxidiertem Leinöl – Herstellung, verbesserte Oberflächenbeständigkeit in der Nutzung, „end-of-life“-Betrachtung und Ökobilanz (LCA) Energetische Verwertung der Formteile nach ihrem stofflichen Lebensende und Lebenszyklusanalyse Nutzung biogener Stoffströme zur Herstellung von Intermediaten für die Kunststoffindustrie Entwicklung von Halbzeugen aus gestreckten, belastungsgerecht angeordneten Bastfasern für Hochleistungsverbundwerkstoffe Ökobilanzierung von Halbzeugen aus gestreck-ten, belastungsgerecht angeordneten Bastfasern für Hochleis-tungsverbundwerkstoffe Die Biogene Werkstatt im Fernsehen Nicht nur im nebenstehenden Slider finden Sie Impressionen aus dem Forschungsalltag der Biogenen Werkstatt. Auch das Fernsehen berichtete schon über die innovativen Verbundwerkstoffe, die in Bingen entwickelt werden. Hier können Sie sich die Beiträge aus den Sendungen ""SWR natürlich!"" und ""Sat1 17:30live"" noch einmal anschauen. 1. WS - DSC 1.0 Biokunststoffe 1. WS - Biogene Thermoplaste 2. WS - Hydreauli. + vollautom. Pressensysteme für formgeb. Verfahren 2. WS - Verarbeitung biogener Verbundwerkstoffe 2. WS - Verarbeitung biogener Duroplaste 3. WS - Erneuerbare Rohstoffe & Worlée 3. WS - Farben, Lacke, Beschichtungen 3. WS - Oberflächenbehandlung mit nachwachsenden Rohstoffen 3. WS - Von Pflanzenölen zu biobasierten Bindemitteln 3. WS - Biogene Farben, Lacke, Beschichtungen 4. WS - Flächige Kunststoffhalbzeuge   4. WS - Halbzeuge Thermo Duro Petro Bio 5. WS - Bioverbundwerkstoffe-Projekte der Biogenen Werkstatt 5. WS - Coating ohne Erdöl - unsere Rohstoffe haben wir geerntet 5. WS - Composite Molding On Presses 5. WS - World wide situation - Plastic waste 5. WS - Gesetzgebung Kunststoffe 6. WS - Bioverbundwerkstoffe - Projekte der Biogenen Werkstatt 6. WS - NETZSCH - weltweit / DSC zur Polymeruntersuchung 6. WS - Treffert - Einfärben von bio-basierten Kunststoffen 6. WS - Nachhaltige Verpackungskunststoffe   Kontakt und Informationen Fachbereich 1 
                    
                        Gebäude
                        3
                    
                    
                        Raum
                        110
                    
                 Biogene Materialien - stoffliche Nutzung nachwachsender Rohstoffe (SNAR) Umweltwirkung von Kunststoffen (KUUW) Energetische Nutzung nachwachsender Rohstoffe (ENAR) Renewable Materials (REMA) Alternative Antriebe - nachhaltige Mobilität (ALTA) Stoffstrommanagement (SSMA) Thermodynamik (TEDY) Weiße Biotechnologie (WBIO) 1994                  Steinhofer-Preis der TU Kaiserslauern für das beste Diplom in Chemie (2. Preis) 2006                  Innovationspreis der Arbeitsgemeinschaft Verstärkte Kunststoffe (AVK) für das innovativste Produkt des Jahres Fachbereich 1 
                    
                        Gebäude
                        3
                    
                    
                        Raum
                        110
                    
                 Veröffentlichungen von Herrn Prof. Dr. Oliver Türk finden Sie auf dessen persönlicher Webseite (via Personenverzeichnis) unter Publikationen. Informationen zur Ausstattung der Biogenen Werkstatt"
https://www.th-bingen.de/hochschule/karriere/foerderung-preise/fraund-preis,Technische Hochschule Bingen: Deutschlandstipendium,"Mit dem Adolf und Dr. Eberhard Fraund-Preis wird an der TH Bingen jährlich eine Absolventin oder ein Absolvent eines landwirtschaftlichen Studiengangs ausgezeichnet. Die Auszeichnung ist mit 6000 Euro dotiert. Neben Studierenden der TH Bingen erhalten den Preis auch Absolventinnen und Absolventen der Hochschule Geisenheim. Der Fraund-Preis richtet sich an Studierende mit sehr guten Studienleistungen. Zu den Auszeichnungskriterien zählen außerdem ehrenamtliches Engagement, fachbezogene Praktika oder eine Berufsausbildung. Bevorzugt werden Bewerberinnen und Bewerber, die unter erschwerten persönlichen oder familiären Umständen studieren sowie Personen, die die Hochschulreife ohne Abitur oder auf dem zweiten Bildungsweg erlangt haben. Interessierte Studierende der TH Bingen können sich bis 31. Oktober 2024 über das Bewerbungsportal der Hochschule Geisenheim für den Preis bewerben. Weitere Informationen gibt es auf der Website der Hochschule Geisenheim.  oder. Alle Informationen zum Bewerbungsverfahren gibt es im Intranet der TH Bingen. Die Stifter Donatorin Sibylle Fraund möchte zur Wahrung des Andenkens ihres Schwiegervaters, Adolf Fraund, der 1946 den heutigen Fachverlag Dr. Fraund mitbegründet hat, und zur Wertschätzung der erfolgreichen verlegerischen Arbeit auf den Gebieten Weinbau und Landwirtschaft ihres Ehemannes, Dr. Eberhard Fraund, Absolventinnen und Absolventen der Hochschulen Geisenheim und Bingen mit Preisen auszeichnen. Zentralverwaltung 
                    
                        Gebäude
                        7
                    
                    
                        Raum
                        102
                    
                 Zentralverwaltung 
                    
                        Gebäude
                        7
                    
                    
                        Raum
                        102"
https://www.th-bingen.de/campus/veranstaltungen-link/hochschulkalender,Technischen Hochschule (TH) Bingen: Hochschulkalender,Welche Termine finden wann im Semester statt? Vorlesungstage oder Ferienzeiten finden Sie übersichtlich auch zum Ausdrucken in den Semesterzeitplänen. Laden Sie sie hier herunter. Zeitpläne von vergangenen Semestern finden Studierende im Intranet der Hochschule.
https://www.th-bingen.de/campus/beratung/psychosoziale-beratung,Technische Hochschule Bingen: Psychosoziale Beratung,"Ob Leistungsdruck, psychische Probleme, Sucht oder Schulden: Die psychosoziale Onlineberatung hilft Ihnen, schwierige Lebens- und Studienphasen zu meistern. Schreiben Sie uns Ihre Fragen oder Ihr Problem ganz einfach per E-Mail. Unser Beraterteam, allesamt qualifizierte Fachkräfte, antwortet Ihnen werktäglich innerhalb von 48 Stunden. Selbstverständlich gewährleisten wir Ihnen absolute Anonymität und Datenschutz.  Die Onlineberatung des Caritasverbandes Mainz e.V. unterstützt das Studierendenwerk. Unser Beratungsangebot umfasst folgende Themenbereiche: Wir helfen Ihnen gerne. Hier geht es zur Onlineberatung. Bitte senden Sie mir vorab eine kurze E-Mail mit Ihrem Terminwunsch. Den bestätige ich Ihnen gerne, so lassen sich Wartezeiten vermeiden. 
                Gebäude
                5,
                Raum
                317
             Zentralverwaltung 
                    
                        Gebäude
                        5
                    
                    
                        Raum
                        301"
https://www.th-bingen.de/studiengaenge/klimaschutz-und-anpassung/voraussetzungen,TH Bingen: Voraussetzungen Klimaschutz und Klimaanpassung,"Voraussetzung zur Aufnahme des Studiums ist die Fachhochschulreife, die Hochschulreife oder ein berufsqualifizierter Hochschulzugang (siehe § 65 HochSchG). Fachbereich 1 
                    
                        Gebäude
                        2
                    
                    
                        Raum
                        125
                    
                 Fachbereich 1 
                    
                        Gebäude
                        2
                    
                    
                        Raum
                        125"
https://www.th-bingen.de/en/studies/courses/informatik-computer-science/overview,Technische Hochschule Bingen: Überblick Informatik,"Informatik / Computer Science, M. Sc.
 Computer science is a language of its own, seemingly invisible, and yet it is the basis of our everyday lives. Computer science is a very young science, where something new is being developed virtually every day. Study with us in the bachelor’s degree course and lay the foundation for your career in various fields of IT. Acquire advanced knowledge based on your interests in the areas of Data Science, Augmented and Virtual Reality or Mobile Computing. Our Master’s in Informatik / Computer Science international degree course focuses on topics related to artificial intelligence.
 The Master’s degree course in Informatik / Computer Science (M.Sc.) offers you the opportunity to obtain further academic qualifications.
 Since the winter semester 22/23, the Master's program in Computer Science has also been offered to all international applicants. Therefore, all courses are held in English, although the master's thesis can also be written in German. Please note to admission requirements for the international Master in Computer Science. Informatik / Computer science in 181 seconds The degree programme in a short portrait: our students show the degree programme Informatik / Computer science in 181 seconds. Why study at Bingen UAS? Studying computer science in Bingen offers you a practical way to learn, in small groups with good supervisory support in a friendly atmosphere. The accompanying tutorials for first-year students help you get off to a good start in your studies. We assist you in developing your potential: Competing against renowned universities, teams from TH Bingen took first place in 2014 and third place in 2016 in the InformatiCup – one of the most significant student competitions in the German-speaking world! View all events The course concludes with the awarding of the academic degree Master of Science (M.Sc.).  –  Steve Jobs | Entrepreneur  As a graduate of the Master’s course in Informatik / Computer Science, you are qualified for management functions in a variety of areas in the IT market. You are an expert when it comes to integrating hardware and software components and processing complex information structures and relationships. As an Academic Partner of Visual Paradigm, University of Applied Sciences Bingen is granted the use of Visual Paradigm for UML modeling, business process modeling, database design, etc. Your future begins now. Take your career into your own hands and apply to Bingen UAS. You can complete the application online, just click your way through it. Fachbereich 2 
                    
                        Building
                        1
                    
                    
                        Room
                        220
                    
                 Fachbereich 2 
                    
                        Building
                        1
                    
                    
                        Room
                        220"
https://www.th-bingen.de/campus/veranstaltungen-link/veranstaltungsreihen/agrartag,Technischen Hochschule (TH) Bingen: Agrartag,"Die Landwirtschaft ist die Schlüsselbranche der Zukunft: Um die wachsende Weltbevölkerung zu ernähren, muss sie noch effizienter produzieren. Allerdings steht die immer komplexer werdende Landwirtschaft zunehmend in der Kritik, aber auch in Zielkonflikten. Ziel des Agrartages ist es, diese Zielkonflikte aufzudecken und zu benennen, sowie Lösungsansätze zu bieten. 
 Der Agrartag richtet sich an Agrarstudierende aller Hochschulen und Universitäten sowie interessiertes Publikum. Die Technische Hochschule Bingen organisiert den Agrartag in Kooperation mit dem VDL Berufsverband Agrar, Ernährung, Umwelt. Der Agrartag 2023: Transformationsprozesse in der Landwirtschaft bedingt durch den Klimawandel und die farm to fork Strategie Programm Fachtagung Agrarwirtschaft 18.10.2023
 Ort: Campus Bingen-Büdesheim, Raum 5-101/103
 09:00 Begrüßung/Einführung in das Tagesprogramm 09:15 Zukunftsfähige nachhaltige Landwirtschaft – Eine Übersicht - Thore Toews 09:40 Ackerbauliche Dauerversuche Bingen – Auswirkungen für Bodenfruchtbarkeit und Erträge – Thomas Appel
 10:05 Kaffeepause 
 10:35 Regenerativer Pflanzenbau – Direktsaat und dauerhafte Begrünung – geht das im Trockengebiet Rheinhessen? – Benjamin Klauk
 11:00 Wertschöpfungskette Braugerste bis Biobier – die (land-)wirtschaftliche Bedeutung der Ackerflora und -fauna–  Linh Nguyen
 11:25 Digitalisierung: Experimentierfeld Südwest – Thomas Rademacher
 11:50 bis 13:15 Mittagspause (Mensa)
 13:15 Elektrophysikalische Unkrautkontrolle eine Alternative? – Benjamin Klauk
 13:40 Neue Kulturarten und deren Verwendung als Anpassung an den Klimawandel - Dusel/Petersen 
 14:05 Aufzucht und Nutzung der schwarzen Soldatenfliegenlarve auf Basis von Reststoffen – Laura Schneider 
 14:30 Anpassung des Kartoffelanbaus an den Klimawandel – Elmar Schulte Geldermann 
 14:55 Veränderungen im Pflanzenschutz zwischen biologischen Notwendigkeiten und gesellschaftlichen Erwartungen – Jan Petersen
 15:20 Abschlussdiskussion
 Gegen 15:30 Ausklang der Tagung bei Kaffee und Kuchen
 Jeweils 15 min. Fachvortrag + 10 Minuten Diskussion im Anschluss Fachbereich 1 
                    
                        Gebäude
                        2
                    
                    
                        Raum
                        113
                    
                 Fachbereich 1 
                    
                        Gebäude
                        2
                    
                    
                        Raum
                        113"
https://www.th-bingen.de/hochschule/karriere/foerderung-preise/gdf-preis,Technische Hochschule Bingen: GdF-Preis,"Die Gesellschaft der Freunde der Technischen Hochschule Bingen (GdF) ist der Förderverein der TH Bingen und prämiert einmal im Jahr die jeweils beiden besten Abschlussarbeiten der beiden Fachbereiche. Alle vier Auszeichnungen sind mit jeweils 500€ dotiert. Außerdem unterstützt der Verein die Hochschule bei Studium und Lehre, insbesondere bei Exkursionen.
 Mehr Informationen erhalten Sie bei der Gesellschaft der Freunde der Technischen Hochschule Bingen e.V.
 Einen Einblick in die Idee hinter der Auszeichnung und eine Auswahl der bisherigen Preisträgerinnen und Preisträger  bietet die Festschrift zum 30-jährigen Bestehen des Förderpreises. Zentralverwaltung 
                    
                        Gebäude
                        HHT (Stadtge
                    
                    
                        Raum
                        109
                    
                 Zentralverwaltung 
                    
                        Gebäude
                        HHT (Stadtge
                    
                    
                        Raum
                        109"
